Date,Commodity Name,Price Today (IDR),Price Yesterday (IDR),Price Change (IDR),Price Change (%),Change Direction
2021-04-20,Beras Premium,11500,11500,0,0,no_change
2021-04-20,Beras Medium,10367,10367,0,0,no_change
2021-04-21,Beras Premium,11500,11500,0,0,no_change
2021-04-21,Beras Medium,10367,10367,0,0,no_change
2021-04-22,Beras Premium,11500,11500,0,0,no_change
2021-04-22,Beras Medium,10367,10367,0,0,no_change
2021-04-23,Beras Premium,11500,11500,0,0,no_change
2021-04-23,Beras Medium,10367,10367,0,0,no_change
2021-04-24,Beras Premium,0,11500,-11500,-100,down
2021-04-24,Beras Medium,0,10367,-10367,-100,down
2021-04-25,Beras Premium,11500,0,11500,0,up
2021-04-25,Beras Medium,10367,0,10367,0,up
2021-04-26,Beras Premium,11500,11500,0,0,no_change
2021-04-26,Beras Medium,10367,10367,0,0,no_change
2021-04-27,Beras Premium,11500,11500,0,0,no_change
2021-04-27,Beras Medium,10367,10367,0,0,no_change
2021-04-28,Beras Premium,11500,11500,0,0,no_change
2021-04-28,Beras Medium,10367,10367,0,0,no_change
2021-04-29,Beras Premium,11500,11500,0,0,no_change
2021-04-29,Beras Medium,10367,10367,0,0,no_change
2021-04-30,Beras Premium,11500,11500,0,0,no_change
2021-04-30,Beras Medium,10367,10367,0,0,no_change
2021-05-01,Beras Premium,11500,11500,0,0,no_change
2021-05-01,Beras Medium,10367,10367,0,0,no_change
2021-05-02,Beras Premium,11500,11500,0,0,no_change
2021-05-02,Beras Medium,10367,10367,0,0,no_change
2021-05-03,Beras Premium,11500,11500,0,0,no_change
2021-05-03,Beras Medium,10367,10367,0,0,no_change
2021-05-04,Beras Premium,11500,11500,0,0,no_change
2021-05-04,Beras Medium,10367,10367,0,0,no_change
2021-05-05,Beras Premium,11500,11500,0,0,no_change
2021-05-05,Beras Medium,10367,10367,0,0,no_change
2021-05-06,Beras Premium,11500,11500,0,0,no_change
2021-05-06,Beras Medium,10367,10367,0,0,no_change
2021-05-07,Beras Premium,11500,11500,0,0,no_change
2021-05-07,Beras Medium,10367,10367,0,0,no_change
2021-05-08,Beras Premium,11500,11500,0,0,no_change
2021-05-08,Beras Medium,10367,10367,0,0,no_change
2021-05-09,Beras Premium,11500,11500,0,0,no_change
2021-05-09,Beras Medium,10367,10367,0,0,no_change
2021-05-10,Beras Premium,11500,11500,0,0,no_change
2021-05-10,Beras Medium,10366,10367,-1,-0.01,down
2021-05-11,Beras Premium,11500,11500,0,0,no_change
2021-05-11,Beras Medium,10367,10366,1,0.01,up
2021-05-12,Beras Premium,11500,11500,0,0,no_change
2021-05-12,Beras Medium,10367,10367,0,0,no_change
2021-05-13,Beras Premium,11500,11500,0,0,no_change
2021-05-13,Beras Medium,10367,10367,0,0,no_change
2021-05-14,Beras Premium,11500,11500,0,0,no_change
