value,time,date,span
10500,"June 7, 2021",2021-06-07,158
10000,"February 9, 2022",2022-02-09,40
10000,"February 10, 2022",2022-02-10,41
10000,"February 11, 2022",2022-02-11,42
10000,"February 14, 2022",2022-02-14,45
10000,"February 16, 2022",2022-02-16,47
10000,"February 17, 2022",2022-02-17,48
10000,"February 23, 2022",2022-02-23,54
10000,"February 25, 2022",2022-02-25,56
10000,"March 1, 2022",2022-03-01,60
10000,"March 7, 2022",2022-03-07,66
10000,"March 11, 2022",2022-03-11,70
10000,"March 15, 2022",2022-03-15,74
10000,"March 31, 2022",2022-03-31,90
10000,"May 24, 2022",2022-05-24,144
10000,"May 30, 2022",2022-05-30,150
10500,"September 15, 2022",2022-09-15,258
10500,"September 16, 2022",2022-09-16,259
10500,"September 19, 2022",2022-09-19,262
10500,"September 20, 2022",2022-09-20,263
10500,"September 21, 2022",2022-09-21,264
10500,"September 22, 2022",2022-09-22,265
10500,"September 23, 2022",2022-09-23,266
10500,"September 26, 2022",2022-09-26,269
10500,"September 27, 2022",2022-09-27,270
10500,"September 28, 2022",2022-09-28,271
10500,"September 29, 2022",2022-09-29,272
10500,"September 30, 2022",2022-09-30,273
10500,"October 3, 2022",2022-10-03,276
10500,"October 4, 2022",2022-10-04,277
10500,"October 5, 2022",2022-10-05,278
10500,"October 6, 2022",2022-10-06,279
10500,"October 7, 2022",2022-10-07,280
10500,"October 10, 2022",2022-10-10,283
10500,"October 11, 2022",2022-10-11,284
10500,"October 12, 2022",2022-10-12,285
10500,"October 13, 2022",2022-10-13,286
10500,"October 14, 2022",2022-10-14,287
10500,"October 17, 2022",2022-10-17,290
10500,"October 18, 2022",2022-10-18,291
10500,"October 19, 2022",2022-10-19,292
10500,"October 20, 2022",2022-10-20,293
10500,"October 21, 2022",2022-10-21,294
10500,"October 24, 2022",2022-10-24,297
10500,"October 25, 2022",2022-10-25,298
10500,"October 26, 2022",2022-10-26,299
10500,"October 27, 2022",2022-10-27,300
10500,"October 28, 2022",2022-10-28,301
10500,"October 31, 2022",2022-10-31,304
10500,"November 1, 2022",2022-11-01,305
10500,"November 2, 2022",2022-11-02,306
10500,"November 3, 2022",2022-11-03,307
10500,"November 4, 2022",2022-11-04,308
10500,"November 7, 2022",2022-11-07,311
10500,"November 8, 2022",2022-11-08,312
10500,"November 9, 2022",2022-11-09,313
10500,"November 10, 2022",2022-11-10,314
10500,"November 11, 2022",2022-11-11,315
0,"November 12, 2022",2022-11-12,316
0,"November 13, 2022",2022-11-13,317
10500,"November 14, 2022",2022-11-14,318
10500,"November 15, 2022",2022-11-15,319
10500,"November 16, 2022",2022-11-16,320
10500,"November 17, 2022",2022-11-17,321
10500,"November 18, 2022",2022-11-18,322
10500,"November 19, 2022",2022-11-19,323
10500,"November 20, 2022",2022-11-20,324
10500,"November 21, 2022",2022-11-21,325
10500,"November 22, 2022",2022-11-22,326
10500,"November 23, 2022",2022-11-23,327
10500,"November 24, 2022",2022-11-24,328
10500,"November 25, 2022",2022-11-25,329
10500,"November 26, 2022",2022-11-26,330
10500,"November 27, 2022",2022-11-27,331
10500,"November 28, 2022",2022-11-28,332
10500,"November 29, 2022",2022-11-29,333
10500,"November 30, 2022",2022-11-30,334
10500,"December 1, 2022",2022-12-01,335
10500,"December 2, 2022",2022-12-02,336
10500,"December 3, 2022",2022-12-03,337
10500,"December 4, 2022",2022-12-04,338
10500,"December 5, 2022",2022-12-05,339
10500,"December 6, 2022",2022-12-06,340
10500,"December 7, 2022",2022-12-07,341
11500,"December 8, 2022",2022-12-08,342
11500,"December 9, 2022",2022-12-09,343
11500,"December 10, 2022",2022-12-10,344
11500,"December 11, 2022",2022-12-11,345
11500,"December 12, 2022",2022-12-12,346
11500,"December 13, 2022",2022-12-13,347
11500,"December 14, 2022",2022-12-14,348
11500,"December 15, 2022",2022-12-15,349
